2016/09/05 21:38:31 [achievement.go:1321][I] 127.0.0.1 修改保存校核记录49
2016/09/05 21:38:35 [achievement.go:1503][I] 127.0.0.1 退回记录row49
2016/09/05 22:01:42 [achievement.go:1124][I] 127.0.0.1 添加记录50
2016/09/05 22:02:20 [achievement.go:1124][I] 127.0.0.1 添加记录51
2016/09/05 22:07:10 [achievement.go:1483][I] 127.0.0.1 提交记录row51
2016/09/05 22:53:57 [achievement.go:1486][I] 127.0.0.1 提交记录row51
2016/09/05 22:54:12 [achievement.go:1486][I] 127.0.0.1 提交记录row50
2016/09/05 22:56:09 [achievement.go:1486][I] 127.0.0.1 提交记录row45
2016/09/05 22:56:16 [achievement.go:1486][I] 127.0.0.1 提交记录row50
2016/09/05 23:03:23 [achievement.go:1486][I] 127.0.0.1 提交记录row51
2016/09/06 21:31:49 [achievement.go:1127][I] 127.0.0.1 添加记录52
2016/09/06 21:32:27 [achievement.go:1310][I] 127.0.0.1 修改保存设计记录52
2016/09/06 21:37:06 [achievement.go:1127][I] 127.0.0.1 添加记录53
2016/09/06 22:04:04 [achievement.go:1312][I] 127.0.0.1 修改保存设计记录53
2016/09/06 22:04:41 [achievement.go:1488][I] 127.0.0.1 提交记录row53
2016/09/06 22:04:56 [achievement.go:1312][I] 127.0.0.1 修改保存设计记录52
2016/09/06 22:06:34 [achievement.go:1312][I] 127.0.0.1 修改保存设计记录0
2016/09/06 22:08:43 [achievement.go:1129][I] 127.0.0.1 添加记录54
2016/09/06 22:10:06 [achievement.go:1312][I] 127.0.0.1 修改保存设计记录52
2016/09/06 22:10:11 [achievement.go:1488][I] 127.0.0.1 提交记录row52
2016/09/07 18:51:53 [achievement.go:1319][I] 127.0.0.1 修改保存设计记录47
2016/09/07 18:54:02 [achievement.go:1133][I] 127.0.0.1 添加记录55
2016/09/07 18:55:13 [achievement.go:1319][I] 127.0.0.1 修改保存设计记录55
2016/09/07 18:56:12 [achievement.go:1319][I] 127.0.0.1 修改保存设计记录55
2016/09/07 18:58:26 [achievement.go:1133][I] 127.0.0.1 添加记录56
2016/09/07 18:59:08 [achievement.go:1319][I] 127.0.0.1 修改保存设计记录56
2016/09/07 19:02:20 [achievement.go:1320][I] 127.0.0.1 修改保存设计记录47
2016/09/07 19:02:56 [achievement.go:1502][I] 127.0.0.1 提交记录row47
2016/09/07 19:03:02 [achievement.go:1502][I] 127.0.0.1 提交记录row55
2016/09/07 19:03:05 [achievement.go:1502][I] 127.0.0.1 提交记录row56
2016/09/07 19:03:09 [achievement.go:1502][I] 127.0.0.1 提交记录row55
2016/09/07 19:03:15 [achievement.go:1502][I] 127.0.0.1 提交记录row56
2016/09/07 19:04:23 [achievement.go:1133][I] 127.0.0.1 添加记录57
2016/09/07 19:05:27 [achievement.go:1320][I] 127.0.0.1 修改保存设计记录57
2016/09/07 19:05:32 [achievement.go:1502][I] 127.0.0.1 提交记录row57
2016/09/07 19:06:15 [achievement.go:1334][I] 127.0.0.1 修改保存校核记录47
2016/09/07 19:06:19 [achievement.go:1502][I] 127.0.0.1 提交记录row47
2016/09/07 19:06:30 [achievement.go:1334][I] 127.0.0.1 修改保存校核记录57
2016/09/07 19:06:33 [achievement.go:1538][I] 127.0.0.1 退回记录row57
2016/09/09 20:54:55 [achievement.go:1152][I] 127.0.0.1 添加记录58
2016/09/09 20:55:05 [achievement.go:1521][I] 127.0.0.1 提交记录row58
2016/09/09 20:56:57 [achievement.go:1353][I] 127.0.0.1 修改保存校核记录58
2016/09/09 20:57:01 [achievement.go:1521][I] 127.0.0.1 提交记录row58
2016/09/09 21:50:58 [achievement.go:1060][I] 127.0.0.1 上传成果文件
2016/09/09 22:09:20 [achievement.go:1060][I] 127.0.0.1 上传成果文件
2016/09/09 22:10:42 [achievement.go:1060][I] 127.0.0.1 上传成果文件
